Metric,Value,Ideal
Entropy (Plain),6.434162,—
Entropy (Encrypted),7.999303,~8.0
Entropy (Decrypted),6.434162,—
Correlation H (Plain),+0.874031,—
Correlation V (Plain),+0.835078,—
Correlation D (Plain),+0.774862,—
Correlation H (Encrypted),-0.000006,~0
Correlation V (Encrypted),-0.000007,~0
Correlation D (Encrypted),-0.000030,~0
NPCR (%),99.6109,~99.6094
UACI (%),30.9180,~33.4635
PSNR (dB),∞ (perfect),inf (perfect)
NPCR Cropping (%),6.2260,—
UACI Cropping (%),3.0986,—
NPCR Noise (%),4.8542,—
UACI Noise (%),2.4519,—
,,
Timing,Seconds,
Key generation,0.0016,
Phase 1 — Confusion,0.1083,
Phase 2 — Diffusion,0.0029,
Phase 3 — ECC Encryption,79.7354,
Phase 4 — GA Optimization,13.2903,
Decryption,42.0893,
